0,Car_ID,Year,Make,Model,0
1,128,2010,Infiniti,G37,128
1,128,2010,Infiniti,G37,128
2,124,2015,Jeep,Wrangler
2,124,2015,Jeep,Wrangler,124
3,15,2014,Audi,S4,120
4,113,2012,Acura,Tsx sportwagon,116
5,83,2014,Honda,Accord,112
6,112,2008,Acura,TL,110
7,65,2009,Honda,Fit,106
8,31,2007,Honda,Fit,102
9,114,2015,Acura,TLX,102
10,91,2010,Mitsu,Lancer,102
11,216,2007,Chrystler,300,96
12,126,2010,Volkswagen,Eos,92
14,228,2010,Nissan,370,92
18,161,2012,Nissan,370z,84
19,153,2011,Nissan,370,84
20,180,2011,Volkswagen,Gti,82
21,57,2015,Scion,Frs,80
24,36,2016,Subaru,WRX,74
29,33,2015,Subaru,Sti,68
30,30,2012,Hyundai,Celoster,66
32,123,2006,Lexus,Sc430,66
34,218,2010,Chevy,Camaro,64
36,38,2017,Hyundai,Elantra sport,62
37,21,2009,Subaru,WRX,62
45,156,2014,Volkswagen,Gli,56
47,137,2017,Ford,Focus rs,54
54,170,2014,Chevy,Cruze,50
59,52,2007,Mazda,Speed 3,48
60,104,2014,Civic coupe,Si,48
62,140,1995,Mitsu,Evo8,44
75,222,2015,Lexus,Is250,40
76,19,2001,Mitsub,Evo7,40
81,18,2015,Audi,S3,38
82,99,2014,Civic,Si,38
84,78,2015,Mazda,6,36
92,92,2017,Hyundai,Elantra sport,30
95,120,2014,Ford,Focus st,30
98,116,2008,Audi,A4,28
103,219,2016,Ford,Focus rs,26
104,141,1993,Mazda,Miata,26
112,2,2016,Bmw,M2,24
116,172,2014,Bmw,4,22
117,100,2006,Volvo,S60r,22
119,235,2013,Scion,Frs,20
135,95,2004,Infiniti,G35,12
138,190,1995,Lexus,Sc300,10
147,111,2007,Bmw,328i,10
154,42,2001,Dodge,Viper,8
161,72,2016,Civic,Si,4
167,0,2015,Chevy,Camaro,0
